Tc_in,Tc_out,mflow_consumer,Th_in,Th_out,mflow_hex,Q_d
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5304142390723788
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5320524137628837
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5337017761454919
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5353622189389466
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5370336341914104
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5387159132883341
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.540408946960376
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5421126252913637
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5438268377263042
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5455514730794377
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5472864195423359
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.549031564692045
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5507867954992699
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5525519983366038
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5543270589867968
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5561118626510674
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5579062939574546
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5597102369692097
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.561523575193227
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5633461915885143
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5651779685747006
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5670187880405817
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5688685313527024
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5707270793639749
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5725943124223327
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5744701103794194
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5763543525993112
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5782469179672739
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5801476848985514
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5820565313471878
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5839733348148797
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5858979723598603
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5878303206058129
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5897702557508149
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5917176535763091
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5936723894561048
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5956343383654046
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5976033748898595
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5995793732346495
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.6015622072335888
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.6035517503582569
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.605547875727153
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.6075504561148737
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.6095593639613134
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.6115744713808869
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.613595650171773
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.6156227718251774
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.6176557075346183
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.6196943282052279
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.6217385044630737
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.6237881066644986
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.6258430049054755
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.6279030690309803
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.6299681686443793
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.6320381731168316
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.6341129515967064
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.6361923730190122
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.6382763061148402
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.640364619420819
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.6424571812885804
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.644553859894236
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.6466545232478639
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.6487590392030038
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.6508672754661611
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.6529790996063183
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.6550943790644537
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.6572129811630661
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.6593347731157051
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.6614596220365057
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.6635873949497278
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.6657179587992988
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.6678511804583582
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.6699869267388046
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.6721250644008439
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.6742654601625384
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.6764079807093543
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.6785524927037092
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.6806988627945182
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.6828469576267365
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.6849966438508996
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.6871477881326598
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.6893002571623166
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.6914539176643444
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.6936086364069116
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.6957642802113944
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.6979207159618828
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.7000778106146781
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.7022354312077819
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.7043934448703753
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.7065517188322873
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.7087101204334534
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.7108685171333611
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.7130267765204832
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.715184766321699
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.7173423544116996
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.7194994088223804
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.7216557977522178
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.7238113895756285
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.7259660528523147
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.7281196563365893
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.7302720689866841
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.7324231599740395
